County,Historic Region,Tag,Temple Phase,Notes
Yorkshire (East/North/West),Yorkshire,REG-YORKSHIRE,Temple 2,York as spiritual anchor
Durham,Northumbria,REG-NORTHUMBRIA,Temple 2,Tied to Saint Cuthbert
Northumberland,Northumbria,REG-NORTHUMBRIA,Temple 2,Borders Scotland
Lancashire,Lancashire,REG-LANCASTRIA,Temple 2,Industrial restoration
Cumberland & Westmorland,Cumbria,REG-CUMBRIA,Temple 3,Hill tribes & watchmen
Cheshire,Mercia,REG-MERCIA-WEST,Temple 2,Holds western gate
Derbyshire,Mercia,REG-MERCIA-CENTRAL,Temple 3,Midlands strength
Nottinghamshire,Mercia,REG-MERCIA-CENTRAL,Temple 3,Robin Hood lineage
Staffordshire,Mercia,REG-MERCIA-SOUTH,Temple 2,Watchtower to South
Shropshire,Marches,REG-MARCHES,Temple 3,Borderlands / warrior camp
